剄	giŋ1
剉	cuo2
㓨	c2
剔	ti3
剖	peu1
剖	fu1
剗	čan1
剚	z2
剛	gaŋ-
剜	uan-
剝	bo3
剞	gi1
剞	gi-
剟	duo3
剒	co3
剠	kiŋ+
剡	ian1
剕	fei2
剬	duan-
剬	žuan1
剨	xuo3
副	fu2
副	pi3
副	fu3
剫	duo3
剮	gua1
㓶	kie3
剭	u3
剭	uo3
㓱	teu+
剩	šeŋ2
割	go3
創	čuaŋ2
創	čuaŋ-
剴	gai-
剴	gai2
剽	piau2
剽	piau+
剿	zau1
剿	čau-
剿	zau1
剷	čan1
剸	žuan-
剸	žuan1
剸	žuan2
剺	li+
剾	eu-
㓼	č3
㓽	žuŋ2
劀	gua3
劂	gye3
劃	xua3
㔆	zan2
㓾	č+
劇	gy3
劈	pi3
劉	liu+
劊	gui2
劌	gui2
劍	gian2
劑	zi2
劓	i2
㔌	zeu2
㔌	zeu-
劔	gian2
劐	kuo3
㔏	li3
㔏	lo1
劕	ž3
劕	ž2
劖	čan+
劖	čan1
劗	zan1
劗	zuan-
劘	mo+
劘	mi+
劙	li+
劙	li2
劙	li1
劚	žu3
力	li3
功	guŋ-
加	gia-
劣	lye3
劦	xie3
助	žu2
努	nu1
劫	gie3
劬	ky+
劭	šau2
劵	kyan2
劾	xə3
劾	xai2
劻	kuaŋ-
劼	gie3
劺	meu+
効	xiau2
勁	giŋ2
勃	bo3
勇	yŋ1
勉	mian1
勅	č3
勍	giŋ-
勍	kiŋ+
勑	č3
勒	lə3
動	duŋ2
勖	xy3
勘	kan2
勘	kan-
務	u2
勔	mian1
勝	šeŋ-
勝	šeŋ2
勞	lau+
勞	lau2
䯇	kua3
募	mu2
勢	š2
勣	zi3
勤	kin+
勠	lu3
勡	piau2
勦	zau1
勦	čau+
勩	i2
勥	kiaŋ1
勥	giaŋ2
勰	xie3
勱	mai2
勮	gy3
勯	dan-
勳	xyn-
勵	li2
勴	ly2
勷	raŋ+
勸	kyan2
勹	bau-
勺	žo3
勺	šo3
勻	yn+
勿	u3
勾	geu-
勼	giu-
匄	gai2
包	bau-
匈	xyŋ-
匊	gy3
匌	xo3
匋	tau+
匍	pu+
匏	pau+
匐	fu3
㔨	bei2
匒	da3
㔩	o3
匔	kyŋ+
匕	bi1
化	xua2
北	bə3
北	bei2
匙	š+
匚	faŋ-
匜	i+
匜	i1
匝	za3
匠	zaŋ2
匡	xia3
